date,idx,code,shares,sharesChg,sharesChgRatio,nav,closePrice,changePct,turnoverRate,turnoverValue,turnoverVolume,disc,discountRatioCurve,avgDiscountRatioCurve,size,totalMV,totalAssets,stockRatio,bondRatio,ytdReturn,ytdMaxDrawdown,return1M,return3M,return6M,return1Y,return3Y,maxDrawdown1M,maxDrawdown3M,maxDrawdown6M,maxDrawdown1Y,maxDrawdown3Y,indexDailyChange,index1YReturn,holderAccount,institutionHolderRatio,individualHolderRatio,prlistTop20Ratio,isTPlus0
2026-06-25,中证800,sh515800,3115937200,-9000000,-0.29,1.37,1.41,1.37,1.95,84628068,,0.28,,,4274754244.68,4372000000,5127834017.57,16.29,0,-8.60,,-5.47,-6.89,-8.60,-8.60,-22.62,0.28,0.41,0.58,0.69,0.98,,,0,0,0,30.20,
2026-06-25,MSCI中国A股,sh515770,39727300,0,0,1.50,1.51,0.07,0.94,521611,,0.07,,,59682322.79,55000000.00,57814892.57,18.60,0,-7.89,,-5.07,-6.56,-7.89,-7.89,-20.48,0.58,0.58,4.56,4.56,6.64,,,0,0,0,28.72,
2026-06-25,沪深300价值,sz159510,61128342,0,0,1.21,1.21,1,6.48,4791019,,-0.13,,,74160904.51,74000000,78470747.01,31.09,0,-8.45,,-4.07,-7.47,-8.45,-8.45,-16.71,0.13,0.46,0.49,0.59,4.93,,,0,0,0,47.09,
2026-06-25,沪深300成长,sz159656,266238451,6000000,2.25,1.33,1.38,2.44,5.48,19639204,,0.11,,,354230259.06,363000000,274197296.90,43.88,0,-6.67,,-6.67,-6.67,-6.67,-8.17,-30.35,0.38,0.62,0.62,1.29,1.29,,,0,0,0,62.57,
2026-06-25,中证红利,sh515180,11704637000,32000000,0.27,1.35,1.32,-1.20,2.69,418178421,,0.20,,,15808282732.20,15532000000,12479401241.77,17.87,0,-10.53,,-7.30,-9.19,-10.53,-10.53,-15.95,0.20,0.27,0.27,0.27,0.39,,,0,0,0,32.85,
2026-06-25,红利低波,sh563020,10221910000,-11000000,-0.11,1.11,1.08,-1.10,2.53,283269868,,0.08,,,11379030212,11164000000,7528097279.38,24.95,0,-9.52,,-7.06,-8.92,-9.52,-11.85,-14.70,0.37,0.37,0.37,0.37,0.66,,,0,0,0,46.76,
2026-06-25,半导体,sh512480,8387003600,-2000000,-0.02,2.51,2.77,4.60,8.98,2057095451,,0.19,,,21066475642.48,23260000000,19978484676.90,46.19,0,-19.90,,-15.03,-15.03,-19.90,-19.90,-37.24,0.43,0.43,0.55,0.61,0.61,,,0,0,0,65.57,
2026-06-25,半导体设备,sz159558,2926854641,168000000,5.74,3.68,4.01,3.11,12.59,1473734253,,0.14,,,10767898224.24,11803000000,4873179894.69,64.72,0,-19.70,,-15.34,-15.34,-19.70,-19.70,-25.05,0.48,0.48,0.59,1.03,2.36,,,0,0,0,88.13,
2026-06-25,芯片,sz159995,10235163006,56000000,0.55,2.85,3.17,5.41,6.17,1988750127,,0.66,,,29148720724.79,32772000000.00,23087719346.45,68.87,0,-21.71,,-15.91,-15.91,-21.71,-21.71,-34.41,0.66,0.66,0.66,0.66,0.86,,,0,0,0,89.72,
2026-06-25,人工智能,sz159819,11045229669,14000000,0.13,2.05,2.18,3.86,4.11,971180580,,-0.14,,,22638302729.58,23970000000,22190048024.58,57.30,0,-15.85,,-9.93,-9.93,-15.85,-15.85,-38.63,0.09,0.24,0.73,0.89,1.79,,,0,0,0,81.39,
2026-06-25,新能源,sh516270,319409000,-4500000,-1.41,0.70,0.71,0,4.11,9285504,,0.06,,,224576467.90,227000000,288957127.77,55.35,0,-14.10,,-12.99,-14.10,-14.10,-14.10,-43.63,0.38,0.38,0.51,1.22,2.10,,,0,0,0,77.28,
